"x","y"
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,10.427067691571
22,9.88696052614617
23,9.37779784522994
24,8.89780673932803
25,8.44531587465909
26,8.01874967355394
27,7.61662282827848
28,7.23753512917752
29,6.88016658913085
30,6.54327284734507
31,6.22568083647695
32,5.92628469800135
33,5.64404193160092
34,5.3779697651696
35,5.1271417327905
36,4.89068444877236
37,4.66777456651197
38,4.45763591159308
39,4.25953677913947
40,4.07278738601131
41,3.89673746897341
42,3.73077402047224
43,3.57431915413753
44,3.42682809257623
45,3.28778727045222
46,3.15671254624676
47,3.03314751647286
48,2.91666192647391
49,2.80685017227265
50,2.70332988825409
51,2.60574061576474
52,2.51374254799191
53,2.42701534675309
54,2.3452570270752
55,2.26818290567995
56,2.19552460971381
57,2.12702914227111
58,2.06245800145629
59,2.00158634991797
60,1.94420223196302
61,1.89010583552478
62,1.83910879641545
63,1.79103354244011
64,1.74571267508861
65,1.70298838665228
66,1.66271191073594
67,1.6247430042518
68,1.58894945909172
69,1.55520664177718
70,1.52339705948432
71,1.49340995093279
72,1.46514090071382
73,1.43849147571475
74,1.41336888237398
75,1.38968564357285
76,1.36735929403947
77,1.34631209320378
78,1.32647075450417
79,1.30776619020291
80,1.29013327082197
81,1.27351059836156
82,1.25784029251165
83,1.24306778911218
84,1.2291416501601
85,1.21601338470176
86,1.20363727998688
87,1.19197024229638
88,1.18097164688952
89,1.17060319654826
90,1.16082878822588
91,1.15161438733587
92,1.14292790924314
93,1.13473910754498
94,1.12701946875283
95,1.11974211300804
96,1.11288170048585
97,1.10641434316198
98,1.1003175216342
99,1.09457000670962
100,1.0891517854844
101,1.08404399165858
102,1.07922883984353
103,1.07468956363296
